id,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,odd_time_signature,valence,cluster
6JFLZH9vCzgqnUToBdiHQb,0.74,140747.0,0.574,0.0,0.262,-6.938,1,0.245,149.762,0,0.33,0
2vDUqLZsaEEYmREcRo9gnn,0.786,320280.0,0.784,0.0477,0.0791,-4.951,1,0.0608,91.053,0,0.812,0
0uTVChzibEWKrXojPaJ9y1,0.531,217680.0,0.397,0.0,0.13,-7.63,1,0.027,99.822,0,0.235,0
1I8tHoNBFTuoJAlh4hfVVE,0.704,271640.0,0.634,3.17e-05,0.0952,-7.374,0,0.0428,113.927,0,0.411,0
5ixdmTpCmH5diBA1j154wN,0.795,165582.0,0.815,3.82e-05,0.227,-3.322,1,0.0821,94.991,0,0.334,0
2uwnP6tZVVmTovzX5ELooy,0.667,241160.0,0.608,0.000198,0.426,-7.054,1,0.216,99.992,0,0.475,0
52vA3CYKZqZVdQnzRrdZt6,0.389,192053.0,0.396,0.0,0.0828,-7.999,1,0.0332,171.86,1,0.585,0
3C8ULtjiUmTtcpE7QJBZ7G,0.705,205200.0,0.337,3.12e-06,0.0747,-14.457,1,0.343,96.556,0,0.6,0
4w3tQBXhn5345eUXDGBWZG,0.554,162467.0,0.783,1.54e-06,0.631,-5.852,1,0.0457,105.39,0,0.813,0
2yjlYDiNiQkdxVqTlaSrlX,0.951,170977.0,0.878,1.61e-05,0.321,-2.565,1,0.211,133.014,0,0.923,0
15ouqiBsgL12olEwP3COsH,0.654,214366.0,0.393,2.97e-06,0.123,-13.392,1,0.129,143.801,0,0.533,0
0wbx5pay7xJGiSETEv9QnY,0.682,217333.0,0.446,0.00485,0.0428,-9.384,1,0.221,152.088,0,0.928,0
5eTaQYBE1yrActixMAeLcZ,0.636,186496.0,0.869,0.0446,0.0808,-5.289,1,0.0412,143.011,0,0.306,0
74fmYjFwt9CqEFAh8ybeBD,0.81,146571.0,0.836,0.229,0.0598,-7.721,0,0.0645,139.979,0,0.0585,0
4I4G0LD277PWvfblYtSf91,0.807,235689.0,0.593,0.00083,0.137,-7.304,1,0.104,110.001,0,0.323,0
12GEpg2XOPyqk03JZEZnJs,0.64,220781.0,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,0,0.515,0
0QSFBx4LlChEpPlzPLChNJ,0.582,174867.0,0.633,0.0,0.313,-10.843,0,0.106,137.384,0,0.906,0
5JfPPlOornKuSPfLMqbtN8,0.447,77800.0,0.137,0.000967,0.101,-15.427,1,0.0398,170.8,1,0.324,0
75NhhYjHO43mvZgYtnXgti,0.655,181812.0,0.666,2.12e-05,0.0683,-5.309,1,0.0612,102.977,0,0.272,0
40iJIUlhi6renaREYGeIDS,0.666,291175.0,0.465,0.0,0.215,-8.545,1,0.26,167.937,0,0.292,0
1HipTbE3pVedq6OGGjxhWj,0.352,374760.0,0.967,0.443,0.986,-7.023,0,0.128,114.436,0,0.225,0
4O2tMlIxlgRwmNQDElwIq4,0.509,169350.0,0.478,0.0291,0.109,-14.575,1,0.0895,96.66,0,0.302,0
2x0RZdkZcD8QRI53XT4GI5,0.802,157202.0,0.645,0.0,0.119,-6.181,0,0.0715,100.001,0,0.376,0
5A32KQZznC2HSqr9qzTl2N,0.553,309587.0,0.632,0.0,0.267,-4.837,0,0.0782,85.1,0,0.687,0
5atFAXIgMXP378op4FaxBm,0.712,265187.0,0.308,0.0,0.0835,-16.003,0,0.036,94.123,0,0.5,0
59hCWxpPaj19QWjErlyJdX,0.417,415227.0,0.468,3.28e-05,0.46,-13.097,0,0.127,124.835,0,0.265,0
4NqR0cXGiQXh3ni3i4KJqV,0.67,150640.0,0.511,0.0,0.243,-13.831,1,0.1,83.817,0,0.961,0
2L93TdW2GMue1H2zlkt30F,0.409,229293.0,0.172,0.00112,0.111,-16.44,0,0.0389,132.151,0,0.352,0
3lec3CzDPAxsZokPph5w87,0.359,226493.0,0.518,0.0,0.106,-3.537,1,0.0302,76.572,0,0.135,0
